,count,mean,std,min,25%,50%,75%,max
X31,11500.0,-6.349913043478261,163.16516700454352,-1743.0,-51.0,-5.0,38.0,1446.0
X32,11500.0,-6.212521739130435,163.4080522704399,-1517.0,-52.0,-6.0,38.0,1381.0
X33,11500.0,-5.859826086956522,163.5614077937042,-1552.0,-52.0,-6.0,38.0,1259.0
X34,11500.0,-5.2998260869565215,162.5481194549159,-1720.0,-51.0,-6.0,38.0,1213.0
X35,11500.0,-4.955652173913044,160.8137719745543,-1864.0,-51.0,-6.0,39.0,1364.0
X36,11500.0,-5.278086956521739,160.44104863672587,-1814.0,-51.0,-6.0,39.0,1220.0
X37,11500.0,-6.162260869565217,162.8819577254244,-1829.0,-51.0,-6.0,39.0,1304.0
X38,11500.0,-7.316608695652174,166.23516406049055,-1851.0,-51.0,-6.0,38.0,1344.0
X39,11500.0,-7.998521739130434,166.31496511464667,-1840.0,-52.0,-7.0,38.0,1298.0
X40,11500.0,-7.818869565217391,164.51301685991183,-1673.0,-52.0,-7.0,37.0,1518.0
X41,11500.0,-6.964086956521739,161.1978122903119,-1832.0,-52.0,-6.0,37.0,1293.0
X42,11500.0,-5.773826086956522,158.04551273652797,-1865.0,-53.0,-7.0,37.0,1309.0
X43,11500.0,-4.700782608695652,157.49090429992503,-1656.0,-52.0,-7.0,38.0,1451.0
X44,11500.0,-4.143826086956522,160.16308219370327,-1825.0,-51.0,-7.0,38.0,1567.0
X45,11500.0,-4.546086956521739,163.99695479015125,-1870.0,-51.0,-6.0,38.0,1388.0
X46,11500.0,-5.532,167.74430992164213,-1868.0,-52.0,-6.0,38.0,1473.0
X47,11500.0,-6.670434782608695,171.23202142452598,-1850.0,-52.0,-6.0,37.0,1846.0
X48,11500.0,-7.702347826086957,171.48478730066745,-1869.0,-53.0,-6.0,37.0,2047.0
X49,11500.0,-7.894695652173913,169.2992287163095,-1885.0,-53.0,-6.0,38.0,2047.0
X50,11500.0,-8.081391304347827,166.25592185577116,-1871.0,-53.0,-6.0,38.0,2047.0
X51,11500.0,-7.818173913043478,163.00515048697548,-1867.0,-53.0,-7.0,37.0,2047.0
X52,11500.0,-7.693913043478261,162.15829890353555,-1848.0,-52.0,-7.0,38.0,2047.0
X53,11500.0,-7.210782608695652,163.59071063867415,-1868.0,-52.0,-8.0,36.0,2021.0
X54,11500.0,-6.653391304347826,165.47652845493346,-1788.0,-53.0,-7.0,36.0,1890.0
X55,11500.0,-6.183130434782608,166.02619987751805,-1773.0,-53.0,-7.0,35.0,1777.0
X56,11500.0,-5.978173913043478,163.93832756011724,-1862.0,-53.0,-7.0,35.0,1674.0
X57,11500.0,-6.606695652173913,161.0458346437816,-1869.0,-52.0,-7.0,35.0,1590.0
X58,11500.0,-7.9990434782608695,160.4189610479363,-1865.0,-53.0,-8.0,36.0,1869.0
X59,11500.0,-9.597826086956522,163.19910989077417,-1863.0,-54.0,-8.0,36.0,2047.0
X60,11500.0,-11.028434782608695,167.047339428193,-1861.0,-54.0,-8.0,36.0,2047.0
X61,11500.0,-11.366521739130436,168.60103883871176,-1868.0,-53.0,-8.0,35.0,2047.0
X62,11500.0,-10.922260869565218,166.26637533181855,-1860.0,-53.0,-8.0,35.0,2047.0
X63,11500.0,-9.660695652173914,161.8220881420853,-1627.0,-53.0,-8.0,35.0,1880.0
X64,11500.0,-8.28295652173913,160.50459643559316,-1721.0,-53.0,-8.0,35.0,1651.0
X65,11500.0,-7.0912173913043475,161.6142208737793,-1866.0,-53.0,-7.0,36.0,1467.0
X66,11500.0,-6.071217391304348,162.71215767066818,-1862.0,-53.0,-7.0,37.0,1299.0
X67,11500.0,-5.658086956521739,161.90870106473278,-1844.0,-53.0,-7.0,38.0,1278.0
X68,11500.0,-5.486608695652174,160.49982449710106,-1843.0,-53.0,-6.0,38.0,1241.0
X69,11500.0,-5.893304347826087,161.1006807838647,-1559.0,-53.0,-7.0,37.0,1325.0
X70,11500.0,-5.861826086956522,163.1433675183239,-1797.0,-53.0,-7.0,37.0,1270.0
X71,11500.0,-5.894086956521739,165.1523197553605,-1844.0,-53.0,-7.0,37.0,1390.0
X72,11500.0,-5.659739130434783,165.974594474243,-1852.0,-53.0,-7.0,37.0,1480.0
X73,11500.0,-5.935130434782609,164.3363655667326,-1849.0,-53.0,-7.0,38.0,1630.0
X74,11500.0,-6.492173913043478,161.6429852296146,-1850.0,-53.0,-7.0,37.0,1948.0
X75,11500.0,-7.022434782608696,161.34559575862016,-1852.0,-53.0,-7.0,37.0,2047.0
X76,11500.0,-7.327739130434782,163.91094680521678,-1868.0,-53.0,-7.0,37.0,2047.0
X77,11500.0,-7.302173913043478,165.44204555124915,-1799.0,-53.0,-7.0,37.0,2047.0
X78,11500.0,-7.186173913043478,165.30223366546477,-1650.0,-54.0,-7.0,36.0,2047.0
X79,11500.0,-7.415304347826087,164.55920732808582,-1838.0,-54.0,-8.0,36.0,2047.0
X80,11500.0,-8.21904347826087,165.72514229034022,-1872.0,-54.0,-8.0,36.0,1925.0
X81,11500.0,-9.350782608695653,168.7324920635786,-1884.0,-55.0,-8.0,37.0,1818.0
X82,11500.0,-10.32104347826087,171.05347447600644,-1884.0,-54.0,-8.0,36.0,2047.0
X83,11500.0,-10.856347826086957,167.8438757617223,-1848.0,-55.0,-9.0,36.0,2047.0
X84,11500.0,-10.67086956521739,162.24994574560594,-1866.0,-55.0,-8.0,35.0,2047.0
X85,11500.0,-10.559217391304347,159.11723076865547,-1835.0,-55.0,-8.0,35.0,2047.0
X86,11500.0,-10.12895652173913,159.97904510940674,-1678.0,-56.0,-8.0,35.0,2047.0
X87,11500.0,-9.481565217391305,163.0278117535488,-1863.0,-55.0,-8.0,36.0,2047.0
X88,11500.0,-8.837826086956522,163.61312634721585,-1858.0,-55.0,-8.0,36.0,1748.0
X89,11500.0,-8.339565217391304,162.71247041967757,-1689.0,-53.25,-7.0,36.0,1450.0
X90,11500.0,-8.014782608695652,162.18436295571667,-1849.0,-54.0,-7.0,37.0,1368.0
X91,11500.0,-7.644608695652174,163.13654564792063,-1865.0,-53.0,-7.0,38.0,1224.0
X92,11500.0,-6.773478260869565,163.08936228763636,-1838.0,-53.0,-7.0,37.0,1227.0
X93,11500.0,-6.113043478260869,160.53690707774342,-1771.0,-53.0,-6.0,37.0,1454.0
X94,11500.0,-5.477478260869566,159.3881201562145,-1849.0,-52.0,-7.0,37.0,1502.0
X95,11500.0,-5.3207826086956524,161.80043881677415,-1846.0,-53.0,-6.0,37.0,1421.0
X96,11500.0,-5.477391304347826,165.07814168489793,-1815.0,-53.0,-6.0,38.0,1346.0
X97,11500.0,-5.802695652173913,168.47480964534878,-1745.0,-54.0,-7.0,37.0,1505.0
X98,11500.0,-6.3513913043478265,168.6749913888835,-1837.0,-54.0,-8.0,37.0,1868.0
X99,11500.0,-6.8748695652173915,168.4234155424196,-1864.0,-54.0,-7.0,38.0,2047.0
X100,11500.0,-7.269217391304347,170.66594967931448,-1747.0,-54.0,-6.0,37.0,2047.0
X101,11500.0,-7.0870434782608696,172.43988729137322,-1868.0,-54.0,-7.0,37.0,2047.0
X102,11500.0,-6.526260869565218,171.26982739499815,-1869.0,-54.0,-6.0,38.0,2047.0
X103,11500.0,-6.481913043478261,169.31796068208797,-1860.0,-54.0,-7.0,38.0,2047.0
X104,11500.0,-7.201391304347826,166.30339597496052,-1744.0,-53.0,-7.0,38.0,1786.0
X105,11500.0,-8.294956521739131,166.43397118069825,-1582.0,-54.0,-8.0,38.0,1568.0
X106,11500.0,-9.42504347826087,166.13746221619428,-1784.0,-53.0,-7.0,36.0,1407.0
X107,11500.0,-9.956347826086956,163.94964963411755,-1829.0,-54.0,-8.0,36.0,1249.0
X108,11500.0,-10.110434782608696,164.02419113286783,-1768.0,-54.0,-8.0,36.0,1308.0
X109,11500.0,-10.27695652173913,165.7776890468374,-1736.0,-54.0,-8.0,36.0,1252.0
X110,11500.0,-10.064521739130434,168.71488809290938,-1789.0,-55.0,-7.0,37.0,1377.0
X111,11500.0,-9.57008695652174,168.56906726410816,-1867.0,-55.0,-7.0,38.0,1513.0
X112,11500.0,-8.955130434782609,165.23325670000287,-1841.0,-55.0,-8.0,37.0,1815.0
X113,11500.0,-8.705130434782609,161.40646750283585,-1867.0,-54.0,-8.0,36.0,2047.0
X114,11500.0,-9.090608695652174,162.46728612642914,-1858.0,-55.0,-7.0,36.0,2047.0
X115,11500.0,-9.476173913043478,165.30719149489985,-1868.0,-55.0,-8.0,36.0,2047.0
X116,11500.0,-9.636,164.5276257061067,-1813.0,-54.0,-7.0,36.0,2047.0
X117,11500.0,-9.354521739130435,160.5025311130132,-1829.0,-53.0,-7.0,36.0,2047.0
X118,11500.0,-8.892695652173913,158.66677050826235,-1868.0,-53.0,-8.0,36.0,2047.0
X119,11500.0,-8.422782608695652,158.72622326424562,-1793.0,-53.0,-8.0,36.0,2047.0
X120,11500.0,-7.758608695652174,156.52361331490343,-1637.0,-54.0,-8.0,37.0,2047.0
X121,11500.0,-7.649913043478261,153.88138289800153,-1415.0,-54.0,-8.0,37.0,2047.0
X122,11500.0,-8.141304347826088,156.32962842859493,-1830.0,-54.0,-7.0,37.0,1950.0
X123,11500.0,-9.473739130434783,162.61214238262392,-1877.0,-54.0,-8.0,37.0,1771.0
X124,11500.0,-10.506,167.15981912428433,-1885.0,-55.0,-8.0,36.0,1618.0
X125,11500.0,-11.002956521739131,166.93046917048915,-1839.0,-55.0,-8.0,37.0,1483.0
X126,11500.0,-10.681652173913044,164.0171584759094,-1863.0,-55.0,-8.0,37.0,1448.0
X127,11500.0,-9.880086956521739,162.83257554859512,-1863.0,-55.0,-8.0,36.0,1424.0
X128,11500.0,-9.233565217391304,162.83952446038043,-1774.0,-55.0,-8.0,36.0,1305.0
X129,11500.0,-8.236956521739131,160.99098581057277,-1864.0,-55.0,-8.0,36.25,1445.0
X130,11500.0,-7.629391304347826,158.3017503569645,-1847.0,-54.0,-7.0,36.25,1376.0
X131,11500.0,-7.373565217391304,157.21436141923428,-1589.0,-53.0,-7.0,36.0,1383.0
X132,11500.0,-7.439913043478261,158.67991100327097,-1719.0,-53.0,-7.0,36.0,1908.0
X133,11500.0,-7.592347826086956,160.18332530716856,-1859.0,-53.0,-7.0,37.0,2047.0
X134,11500.0,-6.897652173913044,162.00298642019663,-1824.0,-54.0,-7.0,37.0,2047.0
X135,11500.0,-6.000347826086957,164.260511943255,-1843.0,-53.0,-6.0,37.0,2047.0
X136,11500.0,-5.423913043478261,166.18275511747837,-1784.0,-53.0,-7.0,37.0,2047.0
X137,11500.0,-5.15104347826087,167.15478464962257,-1585.0,-52.0,-7.0,37.0,2047.0
X138,11500.0,-5.586869565217391,167.41437572435115,-1765.0,-52.0,-6.0,37.0,2047.0
X139,11500.0,-6.281478260869565,168.02031571816434,-1857.0,-53.0,-7.0,37.0,2047.0
X140,11500.0,-6.997304347826087,168.5674949110568,-1867.0,-54.0,-7.0,36.0,2047.0
X141,11500.0,-7.339391304347826,168.66270520566403,-1826.0,-55.0,-8.0,35.0,2047.0
X142,11500.0,-7.9115652173913045,167.64345846001257,-1866.0,-55.0,-8.0,35.0,2047.0
X143,11500.0,-8.177304347826087,167.41443890531556,-1854.0,-56.0,-8.0,35.0,2045.0
X144,11500.0,-8.608869565217391,167.9227728174175,-1789.0,-56.0,-8.0,35.0,2047.0
X145,11500.0,-8.578086956521739,168.27400869335622,-1872.0,-56.0,-8.0,35.0,2047.0
X146,11500.0,-8.24,167.80821796687698,-1866.0,-55.0,-8.0,35.0,2047.0
X147,11500.0,-7.691391304347826,166.7395578707934,-1675.0,-57.0,-9.0,35.0,2047.0
X148,11500.0,-7.356521739130435,165.67855825310974,-1778.0,-55.0,-9.0,34.0,1934.0
X149,11500.0,-7.228782608695652,167.1309108907125,-1733.0,-55.0,-9.0,35.0,1644.0
X150,11500.0,-6.980869565217391,168.1562959121169,-1862.0,-54.0,-8.0,36.0,1524.0
X151,11500.0,-6.756782608695652,167.4598681393594,-1861.0,-54.0,-8.0,36.0,1565.0
X152,11500.0,-6.355304347826087,165.06141399802783,-1857.0,-53.0,-7.0,36.0,1682.0
X153,11500.0,-6.423826086956522,164.24883030485728,-1839.0,-53.0,-7.0,37.0,1977.0
X154,11500.0,-6.465217391304348,166.22633241942358,-1860.0,-53.0,-7.0,36.0,2047.0
X155,11500.0,-6.316434782608695,168.14362488332898,-1843.0,-52.0,-7.0,36.0,2047.0
X156,11500.0,-5.808,167.06706371935476,-1863.0,-52.25,-7.0,35.25,1902.0
X157,11500.0,-5.255913043478261,166.44653986988232,-1861.0,-52.0,-7.0,36.0,1681.0
X158,11500.0,-4.682086956521739,167.55401985744734,-1845.0,-52.0,-7.0,36.0,1502.0
X159,11500.0,-4.638608695652174,169.41845715150626,-1820.0,-53.0,-7.0,37.0,1314.0
X160,11500.0,-4.7702608695652176,170.63917098493351,-1864.0,-52.0,-6.0,36.0,1431.0
X161,11500.0,-5.650869565217391,170.81782413114735,-1868.0,-52.0,-7.0,36.0,1543.0
X162,11500.0,-7.170347826086957,168.14537244401836,-1855.0,-52.0,-7.0,37.0,1556.0
X163,11500.0,-8.759826086956522,166.81797444500634,-1852.0,-53.0,-7.0,35.0,1597.0
X164,11500.0,-9.784782608695652,166.9999805598696,-1870.0,-54.0,-8.0,35.0,1629.0
X165,11500.0,-10.096260869565217,167.75686049690853,-1847.0,-54.0,-8.0,34.0,1726.0
X166,11500.0,-9.842956521739131,166.98881963234922,-1578.0,-55.0,-9.0,35.0,2047.0
X167,11500.0,-9.701739130434783,167.06249724688524,-1838.0,-55.0,-9.0,35.0,2047.0
X168,11500.0,-9.351391304347827,166.60634538311666,-1763.0,-55.0,-8.0,34.0,2047.0
X169,11500.0,-9.498869565217392,165.2355735411844,-1860.0,-55.0,-8.0,35.0,2047.0
X170,11500.0,-10.145739130434782,164.65288344647556,-1867.0,-55.0,-9.0,34.0,1777.0
X171,11500.0,-11.630347826086956,166.1497902918832,-1865.0,-56.0,-10.0,34.0,1472.0
X172,11500.0,-12.943478260869565,168.55405834729672,-1642.0,-56.0,-10.0,33.0,1319.0
X173,11500.0,-13.668869565217392,168.55648578294455,-1723.0,-56.0,-10.0,33.0,1436.0
X174,11500.0,-13.363304347826087,167.25729024614984,-1866.0,-55.0,-10.0,34.0,1733.0
X175,11500.0,-13.045043478260869,164.2410190198504,-1863.0,-56.0,-9.0,34.0,1958.0
X176,11500.0,-12.705130434782609,162.89583178517526,-1781.0,-55.0,-9.0,34.0,2047.0
X177,11500.0,-12.426,162.8863113730963,-1727.0,-55.0,-9.0,34.0,2047.0
X178,11500.0,-12.195652173913043,164.85201531638916,-1829.0,-55.0,-9.0,34.0,1915.0
