group,sample_index,predicted_class,true_class,feature,lime_weight
most_uncertain_correct,1195,2,2,X38,0.010251340205797653
most_uncertain_correct,1195,2,2,X137,0.008511549881417441
most_uncertain_correct,1195,2,2,X25,0.008050811582604801
most_uncertain_correct,1195,2,2,X13,0.008020105232623587
most_uncertain_correct,1195,2,2,X84,0.007319029335670611
most_uncertain_correct,1195,2,2,X131,0.006962956885126719
most_uncertain_correct,1195,2,2,X83,0.006854613243048782
most_uncertain_correct,1195,2,2,X40,-0.006486217763588189
most_uncertain_correct,1195,2,2,X94,0.006178436122469858
most_uncertain_correct,1195,2,2,X70,-0.00562070111331507
most_uncertain_correct,851,2,2,X99,0.01382916742206131
most_uncertain_correct,851,2,2,X40,0.013169885784004517
most_uncertain_correct,851,2,2,X71,0.009670582872064843
most_uncertain_correct,851,2,2,X130,0.009429458495840646
most_uncertain_correct,851,2,2,X80,0.008875309803174006
most_uncertain_correct,851,2,2,X108,-0.008678304569993361
most_uncertain_correct,851,2,2,X33,0.008657774115278662
most_uncertain_correct,851,2,2,X106,0.00854799070442166
most_uncertain_correct,851,2,2,X145,0.00802118845885321
most_uncertain_correct,851,2,2,X111,0.007803966175908687
most_uncertain_correct,851,2,2,X44,0.007719697821702533
most_uncertain_correct,851,2,2,X117,0.007327566547052036
most_uncertain_wrong,1148,4,1,X121,0.00553511315033428
most_uncertain_wrong,1148,4,1,X29,0.004483102352982144
most_uncertain_wrong,1148,4,1,X81,0.004048217004673599
most_uncertain_wrong,1148,4,1,X18,0.003898310418167453
most_uncertain_wrong,1148,4,1,X150,0.0037879041298534504
most_uncertain_wrong,1148,4,1,X41,0.003678225386510345
most_uncertain_wrong,1148,4,1,X11,0.003677357161376868
most_uncertain_wrong,1148,4,1,X82,0.0034409477971640945
most_uncertain_wrong,1148,4,1,X20,-0.003321532355198183
most_uncertain_wrong,1148,4,1,X164,0.003101297089043894
most_uncertain_wrong,1148,4,1,X151,0.003060569670504032
most_uncertain_wrong,1148,4,1,X7,0.0028426326225399067
most_uncertain_wrong,1047,4,3,X170,0.007485531224508151
most_uncertain_wrong,1047,4,3,X20,0.006617164423894728
most_uncertain_wrong,1047,4,3,X178,0.006080159305046187
most_uncertain_wrong,1047,4,3,X68,0.005852523773075735
most_uncertain_wrong,1047,4,3,X45,0.005791840140388523
most_uncertain_wrong,1047,4,3,X44,0.005292719000136954
most_uncertain_wrong,1047,4,3,X90,0.005181382440890431
most_uncertain_wrong,1047,4,3,X81,-0.005095682769203294
most_uncertain_wrong,1047,4,3,X100,0.0047780311225980214
most_uncertain_wrong,1047,4,3,X125,0.004515002003697434
most_uncertain_wrong,1047,4,3,X60,-0.004171476809005885
most_uncertain_wrong,1047,4,3,X91,-0.0040280679977030935
most_uncertain_wrong,577,3,1,X91,-0.08761394277251738
most_uncertain_wrong,577,3,1,X89,0.07081455150190008
most_uncertain_wrong,577,3,1,X151,-0.06796782548632284
most_uncertain_wrong,577,3,1,X162,-0.06009862315785928
most_uncertain_wrong,577,3,1,X165,0.051624350991284935
most_uncertain_wrong,577,3,1,X12,-0.050655500503337565
most_uncertain_wrong,577,3,1,X163,0.04814503905092151
most_uncertain_wrong,577,3,1,X30,0.04586108584508026
most_uncertain_wrong,577,3,1,X157,0.043985086290372274
most_uncertain_wrong,577,3,1,X102,0.04311855433757346
most_uncertain_wrong,577,3,1,X2,0.035318988321653116
most_uncertain_wrong,577,3,1,X103,-0.032741266160747955
most_uncertain_wrong,466,4,3,X136,0.008769152590324706
most_uncertain_wrong,466,4,3,X4,0.007686279769800515
most_uncertain_wrong,466,4,3,X32,0.006828233227563315
most_uncertain_wrong,466,4,3,X110,0.006651873047231956
most_uncertain_wrong,466,4,3,X14,0.006404425521996786
most_uncertain_wrong,466,4,3,X89,0.005982936328873738
most_uncertain_wrong,466,4,3,X167,0.0058647276309105835
most_uncertain_wrong,466,4,3,X112,0.005225222155352709
most_uncertain_wrong,466,4,3,X172,0.005051792383290239
most_uncertain_wrong,466,4,3,X88,0.004943354311002593
most_uncertain_wrong,466,4,3,X178,0.0048368565641708754
most_uncertain_wrong,466,4,3,X144,0.0046842563584977475
